vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"02","032","999","0008",10,9,7.99999982e-02,0
"02","032","999","0298",8,21,1.89999998e-01,0
"02","032","999","0301",6,35,3.19999993e-01,0
"02","032","999","0503",5,83,7.59999990e-01,0
"02","032","999","0511",3,1215,1.11800003e+01,0
"02","032","999","0518",1,4827,4.44000015e+01,0
"02","032","999","0546",4,238,2.19000006e+00,0
"02","032","999","0567",7,31,2.89999992e-01,0
"02","032","999","0574",2,3350,3.08099995e+01,0
"02","032","999","0810",12,0,0.00000000e+00,0
"02","032","999","0813",11,0,0.00000000e+00,0
"02","032","999","0814",9,14,1.29999995e-01,0
"02","034","999","0008",13,65,1.80000007e-01,0
"02","034","999","0268",14,3,9.99999978e-03,0
"02","034","999","0298",12,121,3.30000013e-01,0
"02","034","999","0301",8,252,6.89999998e-01,0
"02","034","999","0503",4,1837,5.01999998e+00,0
"02","034","999","0511",3,4759,1.30100002e+01,0
"02","034","999","0518",2,9761,2.66800003e+01,0
"02","034","999","0527",10,132,3.60000014e-01,0
"02","034","999","0546",5,1227,3.34999990e+00,0
"02","034","999","0567",6,524,1.42999995e+00,0
"02","034","999","0574",1,14960,4.09000015e+01,0
"02","034","999","0810",9,158,4.30000007e-01,0
"02","034","999","0813",7,364,1.00000000e+00,0
"02","034","999","0814",11,132,3.60000014e-01,0
"02","036","999","0008",12,325,1.89999998e-01,0
"02","036","999","0268",14,62,3.99999991e-02,0
"02","036","999","0298",13,317,1.89999998e-01,0
"02","036","999","0301",11,346,2.09999993e-01,0
"02","036","999","0503",5,6448,3.84999990e+00,0
"02","036","999","0511",3,23667,1.41300001e+01,0
"02","036","999","0518",2,47477,2.83500004e+01,0
"02","036","999","0527",10,371,2.19999999e-01,0
"02","036","999","0546",4,8530,5.09000015e+00,0
"02","036","999","0567",6,1891,1.13000000e+00,0
"02","036","999","0574",1,63536,3.79399986e+01,0
"02","036","999","0810",9,499,3.00000012e-01,0
"02","036","999","0813",7,1037,6.20000005e-01,0
"02","036","999","0814",8,1034,6.20000005e-01,0
